ano,municipio,nome_municipio,populacao,fonte,metodo,obitos_causa_basica_cerebrovascular,taxa_100mil
2011,330185,Guapimirim,52522,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,29,55.214957541601606
2011,330187,Iguaba Grande,23475,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,13,55.378061767838126
2011,330190,Itaboraí,220352,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,120,54.45832123148416
2011,330200,Itaguaí,111171,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,48,43.17672774374612
2011,330205,Italva,14174,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,7,49.38620008466206
2011,330210,Itaocara,22892,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,37,161.62851651231873
2011,330220,Itaperuna,96542,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,57,59.041660624391454
2011,330225,Itatiaia,29094,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,15,51.557022066405445
2011,330227,Japeri,96430,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,48,49.77704034014311
2011,330230,Laje do Muriaé,7455,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,7,93.89671361502347
2011,330240,Macaé,212433,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,79,37.188195807619344
2011,330245,Macuco,5299,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,7,132.1003963011889
2011,330250,Magé,228972,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,190,82.97957828904845
2011,330260,Mangaratiba,37343,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,20,53.55756098867258
2011,330270,Maricá,131355,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,87,66.2327281032317
2011,330280,Mendes,17981,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,20,111.22851899226963
2011,330285,Mesquita,168966,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,117,69.24470011718334
2011,330290,Miguel Pereira,24699,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,34,137.6573950362363
2011,330300,Miracema,26827,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,11,41.00346665672643
2011,330310,Natividade,15079,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,18,119.37131109490018
2011,330320,Nilópolis,157710,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,100,63.40752013188764
2011,330330,Niterói,489720,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,287,58.60491709548313
2011,330340,Nova Friburgo,182748,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,119,65.11699170442357
2011,330350,Nova Iguaçu,799047,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,492,61.5733492522968
2011,330360,Paracambi,47635,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,33,69.276792274588
2011,330370,Paraíba do Sul,41367,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,28,67.68680349070515
2011,330380,Paraty,38147,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,11,28.8358193304847
2011,330385,Paty do Alferes,26469,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,14,52.89206241263364
2011,330390,Petrópolis,296565,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,285,96.10034899600424
2011,330395,Pinheiral,22968,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,13,56.60048763497039
2011,330400,Piraí,26637,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,16,60.06682434208056
2011,330410,Porciúncula,17899,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,17,94.97737303759986
2011,330411,Porto Real,16938,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,8,47.231078049356476
2011,330412,Quatis,12952,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,10,77.20815318097591
2011,330414,Queimados,139188,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,63,45.26252263126131
2011,330415,Quissamã,20747,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,8,38.5597917771244
2011,330420,Resende,120938,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,80,66.14959731432634
2011,330430,Rio Bonito,56001,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,36,64.28456634702951
2011,330440,Rio Claro,17517,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,10,57.08740081064109
2011,330450,Rio das Flores,8633,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,4,46.33383528321557
2011,330452,Rio das Ostras,110992,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,45,40.54346259189851
2011,330455,Rio de Janeiro,6355949,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,4132,65.00996153367498
2011,330460,Santa Maria Madalena,10310,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,10,96.99321047526674
2011,330470,Santo Antônio de Pádua,40735,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,25,61.37228427642077
2011,330475,São Francisco de Itabapoana,41371,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,23,55.594498561794495
2011,330480,São Fidélis,37601,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,22,58.50908220526049
2011,330490,São Gonçalo,1008065,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,601,59.61917138279773
2011,330500,São João da Barra,33136,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,23,69.41091260260744
2011,330510,São João de Meriti,459379,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,240,52.2444430415844
2011,330513,São José de Ubá,7049,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,2,28.37281883955171
2011,330515,São José do Vale do Rio Preto,20398,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,12,58.82929698990097
2011,330520,São Pedro da Aldeia,89739,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,59,65.74621959237344
2011,330530,São Sebastião do Alto,8933,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,5,55.972237770066045
2011,330540,Sapucaia,17554,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,15,85.45060954768144
2011,330550,Saquarema,75906,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,42,55.33159434036835
2011,330555,Seropédica,79179,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,36,45.466600992687454
2011,330560,Silva Jardim,21356,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,11,51.50777299119685
2011,330570,Sumidouro,14956,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,9,60.176517785504146
2011,330575,Tanguá,31091,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,11,35.380013508732425
2011,330580,Teresópolis,165716,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,100,60.34420333582756
2011,330590,Trajano de Moraes,10309,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,3,29.10078572121447
2011,330600,Três Rios,77851,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,64,82.2083210234936
2011,330610,Valença,72268,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,40,55.3495322964521
2011,330615,Varre-Sai,9600,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,6,62.5
2011,330620,Vassouras,34638,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,23,66.40106241699867
2011,330630,Volta Redonda,259012,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,196,75.67216962920638
2012,330010,Angra dos Reis,177101,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,75,42.34871626924749
2012,330015,Aperibé,10545,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,8,75.86533902323376
2012,330020,Araruama,116418,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,66,56.692264082873784
2012,330022,Areal,11654,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,4,34.32297923459756
2012,330023,Armação dos Búzios,28973,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,9,31.063403858765056
2012,330025,Arraial do Cabo,28295,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,16,56.54709312599399
2012,330030,Barra do Piraí,95726,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,101,105.50947495978104
2012,330040,Barra Mansa,178880,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,107,59.81663685152057
2012,330045,Belford Roxo,474596,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,272,57.311903176596516
2012,330050,Bom Jardim,25738,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,26,101.01795011267386
2012,330060,Bom Jesus do Itabapoana,35677,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,24,67.27023012024554
2012,330070,Cabo Frio,195197,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,96,49.18108372567201
2012,330080,Cachoeiras de Macacu,55139,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,31,56.221549175719545
2012,330090,Cambuci,14851,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,17,114.47040603326376
2012,330093,Carapebus,14024,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,5,35.6531660011409
2012,330095,Comendador Levy Gasparian,8219,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,3,36.50079085046843
2012,330100,Campos dos Goytacazes,472300,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,315,66.69489731103113
2012,330110,Cantagalo,19830,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,12,60.5143721633888
2012,330115,Cardoso Moreira,12601,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,9,71.42290294421078
2012,330120,Carmo,17758,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,16,90.10023651312085
2012,330130,Casimiro de Abreu,37340,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,16,42.849491162292445
2012,330140,Conceição de Macabu,21613,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,9,41.641604589830195
2012,330150,Cordeiro,20707,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,10,48.29284782923649
2012,330160,Duas Barras,11020,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,5,45.37205081669691
2012,330170,Duque de Caxias,867067,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,517,59.62630338831947
2012,330180,Engenheiro Paulo de Frontin,13408,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,7,52.20763723150358
2012,330185,Guapimirim,53527,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,32,59.78291329609356
2012,330187,Iguaba Grande,24079,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,13,53.98895302961087
2012,330190,Itaboraí,222618,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,120,53.90399698137617
2012,330200,Itaguaí,113182,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,70,61.8472902051563
2012,330205,Italva,14281,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,10,70.02310762551642
2012,330210,Itaocara,22884,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,24,104.8767697954903
2012,330220,Itaperuna,97219,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,62,63.773542208827486
